user_name,count_tweet,pol,count_retweet,count_mentions,pol_tot
Mabel Jimena,1,0.375,0,1,0.375
Ana M,1,-0.2919999957084656,0,2,-0.5839999914169312
Francesc Magrinya,2,-0.0625,0,2,-0.0625
arlad arroyo,1,0.43799999356269836,0,1,0.43799999356269836
Sofi ?,1,-0.3569999933242798,0,0,-0.3569999933242798
Santiago Torres,1,0.0,0,1,0.0
Paadim,2,-0.04150000214576721,0,2,-0.04150000214576721
??Iraultza Gorria?,1,0.0,0,1,0.0
Helenpas_ATM,2,-0.3540000021457672,0,3,-0.3540000021457672
Familyrock2010,2,-0.4269999861717224,0,2,-0.4269999861717224
Joedelmon,1,0.0,0,0,0.0
estitxu loureiro,1,-0.25,0,1,-0.25
M G R,1,0.0,0,1,0.0
Pilar Palmada,2,-0.2290000021457672,0,2,-0.2290000021457672
Ramon Saborit?,1,0.25,0,1,0.25
Matii Duarte,1,0.25,0,1,0.25
Jorge L�pez C.,1,0.2750000059604645,0,1,0.2750000059604645
Tona Herr�iz,2,-0.5834999978542328,0,2,-0.5834999978542328
Jos� Luis Redondo Pr,1,-0.3919999897480011,0,1,-0.3919999897480011
Federico Arteaga,2,-0.2290000021457672,0,0,-0.2290000021457672
Orenji Ness,3,0.36400000254313153,0,3,0.36400000254313153
Isma �lvarez Borches,1,-0.562999963760376,0,1,-0.562999963760376
AgVst� Mosegu�,1,0.025000005960464478,0,1,0.025000005960464478
Amparo Lliso,1,0.25,0,1,0.25
THE BEGINING #1OCT,2,0.0,0,2,0.0
Lorena Freire Acal,1,0.41600000858306885,0,1,0.41600000858306885
Xavi Villena,1,0.4580000042915344,0,1,0.4580000042915344
Marcos Sanluis,1,0.0,0,0,0.0
Maialen Baqueriza,1,-0.656000018119812,0,1,-0.656000018119812
Motas,1,0.0,0,1,0.0
Ricardo Fern�ndez,1,-0.20800000429153442,0,1,-0.20800000429153442
federico perez marto,2,0.5625,0,2,0.5625
Overb00st,1,0.25,0,1,0.25
Avecesveovoces,1,-0.48100000619888306,0,1,-0.48100000619888306
Floricienta.,3,-0.17899999022483826,0,1,-0.17899999022483826
�NGEL.a.j,1,-0.25,0,1,-0.25
enrique r guerrero,2,0.20850002765655518,0,1,0.20850002765655518
CAROLINA RIBAS,1,0.0,0,1,0.0
EnMarea,1,0.0,0,1,0.0
Xavi navarro,1,-0.48100000619888306,0,1,-0.48100000619888306
Sara Sed�,1,-0.25,0,1,-0.25
sinpoliticos,1,0.0,0,1,0.0
Liam Son Of Mick ??,1,0.375,0,1,0.375
Jorge Skywalker,1,-0.48100000619888306,0,1,-0.48100000619888306
Alonso Toro,1,-0.28600001335144043,0,1,-0.28600001335144043
Juan Jose Crespo,2,-0.0034999847412109375,0,2,-0.0034999847412109375
Pvolador,1,0.16699999570846558,0,1,0.16699999570846558
Rub�n Rafael Rom�n,1,0.25,0,1,0.25
sara ortega olmedo,1,0.0,0,1,0.0
Canvas on oil,1,0.041999995708465576,0,1,0.041999995708465576
Riverside,1,0.0,0,0,0.0
Juan de Salaberre,1,-0.25,0,0,-0.25
Carles Casals,1,0.0,0,2,0.0
#Gonzalezveteya!!,1,-0.375,0,1,-0.375
Jhoni jose,1,-0.5360000133514404,0,1,-0.5360000133514404
Carlos Moya,1,-0.25,0,2,-0.5
paayii???,1,0.0,0,1,0.0
Ccarol,1,0.75,0,1,0.75
jose.antxordoki,1,0.375,0,1,0.375
Daniel Pacha,1,0.31299999356269836,0,1,0.31299999356269836
The Norman Invader,1,-0.30699998140335083,0,1,-0.30699998140335083
Enzo Mel�ndez,3,-0.24600000182787576,0,4,-0.24600000182787576
�ngel ??,1,0.7170000076293945,0,1,0.7170000076293945
Manuel Ignacio Otero,1,-0.3919999897480011,0,1,-0.3919999897480011
Fiz,1,0.0,0,1,0.0
Manoburup,4,-0.5975000113248825,0,4,-0.5975000113248825
Elias nu?ez Difo,1,0.0,0,1,0.0
No Olvides,1,-0.25,0,1,-0.25
tano moreno,2,-0.17499999701976776,0,2,-0.17499999701976776
claudia gc bell,2,0.0625,0,2,0.0625
Seraf�n Carballo,1,0.25,0,1,0.25
Sibilio,1,0.0,0,2,0.0
Irene Marrugat,1,-0.25,0,1,-0.25
Diego Espinosa,2,-0.46799999475479126,0,2,-0.46799999475479126
Eugenia Villarreal,1,-0.375,0,1,-0.375
Pablo Miranda,1,-0.25,0,1,-0.25
SATYR RULEZ...!!!,1,-0.5,0,1,-0.5
M�nica Jurado,1,-0.3919999897480011,0,1,-0.3919999897480011
enrique rosas diaz,2,-0.5834999978542328,0,3,-0.8544999957084656
Nit,1,-0.125,0,1,-0.125
Ifont4 ||*||,1,0.0,0,1,0.0
Pancho Vertigen,2,-0.7120000123977661,0,2,-0.7120000123977661
Skyline,2,-0.125,0,1,-0.125
Isieramigato,1,0.625,0,1,0.625
Angel Rekalde,1,0.0,0,1,0.0
Locksley,1,0.0,0,1,0.0
Careperro ?,1,-0.39500001072883606,0,1,-0.39500001072883606
El pobrecitohablador,1,-0.3330000042915344,0,1,-0.3330000042915344
Miguel ???,1,-0.48100000619888306,0,1,-0.48100000619888306
Jinete del Barril ?,2,0.020999997854232788,0,2,0.020999997854232788
Mar�a Jes�s Linares,1,0.0,0,8,0.0
Iriis Medina,1,0.25,0,1,0.25
Alexa,2,0.012500002980232239,0,1,0.012500002980232239
Dani Zumaquero,1,0.75,0,0,0.75
Marc Llibre Nualart,1,-0.25,0,1,-0.25
Iv�n Ruiz G�mez,1,0.3330000042915344,0,2,0.6660000085830688
david andrew lawson,1,0.375,0,1,0.375
raquel bassas,1,-0.27000001072883606,0,1,-0.27000001072883606
Stocky,1,0.16699999570846558,0,1,0.16699999570846558
Gracias Pipa,1,0.0,0,1,0.0
DavidMM24_,2,-0.4685000032186508,0,2,-0.4685000032186508
Joan Valero,1,0.75,0,1,0.75
Roberth Flores,2,0.125,0,2,0.125
Beca Mitchell,1,-0.375,0,1,-0.375
Oleguer Arteaga,1,-0.20800000429153442,0,1,-0.20800000429153442
Elena Ib��ez,1,0.0,0,1,0.0
xiqueta73,1,0.0,0,1,0.0
Pirata cojo,1,0.25,0,1,0.25
Dani Mart�nez,1,0.030999988317489624,0,1,0.030999988317489624
Supervillano ?,2,0.3540000021457672,0,2,0.3540000021457672
Llerator 2,2,0.11800003051757812,0,2,0.11800003051757812
TAG,1,-0.75,0,1,-0.75
Angel Iglesias,1,0.875,0,1,0.875
Luis A. Cubas R.,1,0.25,0,0,0.25
Miguel Orozco,1,-0.5,0,0,-0.5
puesjavi,2,0.3125,0,2,0.3125
Trueno Noticias.,1,0.0,0,1,0.0
Jacint Guimer� Edo,1,-0.4059999883174896,0,1,-0.4059999883174896
Luc�a Garc�a,1,0.0,0,1,0.0
gustavo del valle,1,-0.3669999837875366,0,1,-0.3669999837875366
